window,spec,train_start,test_start,test_end,loglik,aic,bic,n_params,converged,mu0,sigma0,mu1,sigma1,beta1_0,beta2_0,beta1_1,beta2_1,lr_stat,lr_p,beta1_2,beta2_2
0,baseline,2014-02-01,2018-01-31,2018-05-01,2983.589828151286,-5955.179656302572,-5923.462506014357,6,True,0.0020360358097332265,0.01675635838076033,0.0012601060683058685,0.058119361313767874,2.592122063807185,2.165234115651254,,,,,,
0,tvtp_logrv,2014-02-01,2018-01-31,2018-05-01,3017.2680995272503,-6018.536199054501,-5976.246665336882,8,True,0.0019382009633931647,0.014939209653851508,0.0013937327165258328,0.0593725529789479,0.9355522432114423,-0.1555738383428968,-1.2615151012902441,1.198712142713814,67.35654275192883,2.364354436035077e-15,,
0,tvtp_exflow,2014-02-01,2018-01-31,2018-05-01,2984.4133380989933,-5952.826676197987,-5910.537142480368,8,True,0.002080416052112435,0.016834805423682386,0.0011873498843243929,0.058150460693653094,2.6236580903801032,2.1734455806480177,-0.3735075202615074,0.11385803270013485,1.6470198954148145,0.4388884722587907,,
0,tvtp_both,2014-02-01,2018-01-31,2018-05-01,3018.858852663121,-6017.717705326242,-5964.8557881792185,10,True,0.0019940014728829047,0.015123491566846656,0.001301760120243376,0.05952696202075607,0.9498999120457381,-0.28362642280115113,-1.2643529012435453,1.3595257756966816,70.53804902367028,1.747403283285815e-14,-0.37269464853836476,0.10628260955949155
1,baseline,2014-05-03,2018-05-02,2018-07-31,2967.9712077504437,-5923.942415500887,-5892.225265212673,6,True,0.0021868393137859246,0.016688356362657027,0.0018854172568548693,0.05596777845810915,2.788135922132854,2.5269531535035035,,,,,,
1,tvtp_logrv,2014-05-03,2018-05-02,2018-07-31,3002.7499785184455,-5989.499957036891,-5947.210423319272,8,True,0.002190590649704343,0.014602982378064606,0.0018699319296223522,0.05746027495047421,0.7426564965398926,-0.3167350701881352,-1.3275634029984662,1.709669739352708,69.55754153600355,7.866322873623244e-16,,
1,tvtp_exflow,2014-05-03,2018-05-02,2018-07-31,2968.8791059396885,-5921.758211879377,-5879.468678161758,8,True,0.0022380923911525926,0.016729239147637423,0.001817311123510566,0.055943229538400356,2.826908442072407,2.5407878957373944,-0.3839314167582941,0.11073265543226841,1.815796378489722,0.4033711434973526,,
1,tvtp_both,2014-05-03,2018-05-02,2018-07-31,3004.409955332087,-5988.819910664174,-5935.9579935171505,10,True,0.002249676473954455,0.014806918767208868,0.001785205311041938,0.057683331601633345,0.7724995876859021,-0.4381433557846983,-1.3381970300902124,1.8531196171903848,72.87749516328677,5.599823128087324e-15,-0.4322277470075215,0.053665164268607395
2,baseline,2014-08-02,2018-08-01,2018-10-30,2935.52118627811,-5859.04237255622,-5827.325222268005,6,True,0.0024758105429410425,0.016586110495392443,0.0008652779934549427,0.05596409475147791,2.530591921259837,2.3198187113078563,,,,,,
2,tvtp_logrv,2014-08-02,2018-08-01,2018-10-30,2973.5338683265845,-5931.067736653169,-5888.77820293555,8,True,0.0023248851763874724,0.014193222645684489,0.0010600497838472685,0.056598094341859854,0.6600223843419543,-0.029744822737903485,-1.2387770496190906,1.4829340092713212,76.02536409694949,3.099573534229142e-17,,
