window,spec,train_start,test_start,test_end,loglik,aic,bic,n_params,converged,mu0,sigma0,mu1,sigma1,mu2,sigma2,lr_stat,lr_p
0,baseline,2014-02-01,2018-01-31,2018-05-01,3032.228083919619,-6040.456167839238,-5977.02186726281,12,True,0.0003306276638908038,0.010567741788391616,0.004214028476886945,0.026147532175660973,-0.00103020571417168,0.0658654083612577,,
0,tvtp_logrv,2014-02-01,2018-01-31,2018-05-01,3061.623394751024,-6087.246789502048,-5992.095338637405,18,True,0.0006615684075681923,0.0069818902698909535,0.003975938657037117,0.023225632045174457,-0.0016543712010836757,0.06799058427898977,58.790621662809826,7.921943113105387e-11
0,tvtp_exflow,2014-02-01,2018-01-31,2018-05-01,3034.237232419633,-6032.474464839266,-5937.323013974623,18,True,0.0003868951755962643,0.010784681600320905,0.004611134857622939,0.026967138138638876,-0.002082549902513359,0.06742996650384936,4.018297000027815,0.6742002037331
0,tvtp_both,2014-02-01,2018-01-31,2018-05-01,3068.0796872247897,-6088.159374449579,-5961.290773296722,24,True,0.0006519234392024228,0.007019456659703962,0.004293091309521599,0.02394871751857332,-0.002060800564029741,0.06729100821991937,71.70320661034111,1.5357357359835361e-10
1,baseline,2014-05-03,2018-05-02,2018-07-31,3017.6189296879165,-6011.237859375833,-5947.8035587994045,12,True,0.00033561666381686926,0.010600376333278915,0.005115779403034411,0.026727794858454456,-0.000784207777717417,0.06356082589532591,,
1,tvtp_logrv,2014-05-03,2018-05-02,2018-07-31,3045.1967498190975,-6054.393499638195,-5959.242048773552,18,True,0.000928263389374751,0.006905824466191903,0.004193429043967529,0.02289376893183,-0.0004494136183029264,0.06420316737040108,55.155640262361885,4.311858921439019e-10
1,tvtp_exflow,2014-05-03,2018-05-02,2018-07-31,3019.5729720811687,-6003.145944162337,-5907.994493297694,18,True,0.00032088368537414686,0.010891956641937057,0.00539513026322308,0.027199944108190047,-0.0011700478605149377,0.06383463052842882,3.9080847865043324,0.6891135730488449
1,tvtp_both,2014-05-03,2018-05-02,2018-07-31,3056.038869351904,-6064.077738703808,-5937.209137550951,24,True,0.0009123323481747154,0.0073142530515817586,0.0047539315181829795,0.024899223298431805,-0.0014355293748673085,0.06554034998214105,76.83987932797481,1.647273458621644e-11
2,baseline,2014-08-02,2018-08-01,2018-10-30,2986.1268707203135,-5948.253741440627,-5884.819440864198,12,True,0.0007746174810860116,0.010858780609446261,0.004785725367523549,0.026839636657515088,-0.0023556065843258435,0.06491422492223627,,
2,tvtp_logrv,2014-08-02,2018-08-01,2018-10-30,3014.560733229907,-5993.121466459814,-5897.9700155951705,18,True,0.0013934149621391717,0.006833962838738504,0.0039676651716272415,0.0228221664276947,-0.0013387570374623103,0.06369575403532728,56.867725019186764,1.9431034943370384e-10
2,tvtp_exflow,2014-08-02,2018-08-01,2018-10-30,2988.885398722002,-5941.770797444004,-5846.61934657936,18,True,0.0008810230421595584,0.011049050129981409,0.004749379611438523,0.026896506180354215,-0.0023707498955491345,0.06486409909775566,5.517056003376638,0.4793976565370901
2,tvtp_both,2014-08-02,2018-08-01,2018-10-30,3028.6677270768787,-6009.335454153757,-5882.4668530009,24,True,0.0014714573380950192,0.0071602209955007766,0.003929847479548306,0.024332647211408483,-0.001485400526860011,0.06383496875693354,85.0817127131304,4.3897461020055334e-13
3,baseline,2014-11-01,2018-10-31,2019-01-29,3018.156064186971,-6012.312128373942,-5948.877827797513,12,True,0.0007301011627230352,0.01000793207904404,0.0047609552263660326,0.024906325849309505,-0.0014235725779424867,0.06433544782805503,,
3,tvtp_logrv,2014-11-01,2018-10-31,2019-01-29,3052.9032798576063,-6069.806559715213,-5974.655108850569,18,True,0.0010151143995911222,0.0060099099573250854,0.004309380838711314,0.020931828658025096,-0.0012053858183519461,0.06324843126734671,69.49443134127068,5.191228495309402e-13
3,tvtp_exflow,2014-11-01,2018-10-31,2019-01-29,3022.164721480618,-6008.329442961236,-5913.177992096593,18,True,0.0007564066446191732,0.01011118537990189,0.004960302830606366,0.025659744235819754,-0.002013822591644328,0.0650407750861501,8.017314587294095,0.23683753812290279
3,tvtp_both,2014-11-01,2018-10-31,2019-01-29,3061.6751537305645,-6075.350307461129,-5948.481706308272,24,True,0.0011518699191663826,0.006298749077212116,0.0043982489200612785,0.023102488047237857,-0.0015676276813276682,0.06450896150777596,87.03817908718702,1.8439044438424938e-13
4,baseline,2015-01-31,2019-01-30,2019-04-30,3038.4124579972563,-6052.824915994513,-5989.390615418084,12,True,0.00045259833453743196,0.009498231874896684,0.005002873468595544,0.022963313007204125,-0.001223757944370667,0.060321702196086006,,
4,tvtp_logrv,2015-01-31,2019-01-30,2019-04-30,3078.3599872336517,-6120.7199744673035,-6025.56852360266,18,True,0.00080039065276478,0.006046658159388401,0.004372043935144001,0.01924774678194818,-0.0010816129429175396,0.05997141561182074,79.89505847279088,3.755716782477692e-15
4,tvtp_exflow,2015-01-31,2019-01-30,2019-04-30,3044.5571872279097,-6053.114374455819,-5957.962923591176,18,True,0.0006191242831656298,0.009451453233347307,0.005251520186080672,0.02413822857752097,-0.0018244799523839223,0.060761405127933356,12.289458461306822,0.05581423907155832
4,tvtp_both,2015-01-31,2019-01-30,2019-04-30,3090.1122525999886,-6132.224505199977,-6005.35590404712,24,True,0.0010019451579483364,0.006400602075764924,0.0047625417875049375,0.022770895761800743,-0.0021174767328012017,0.0624488935411425,103.39958920546451,1.1982584306801518e-16
5,baseline,2015-05-02,2019-05-01,2019-07-30,3087.658942908612,-6151.317885817224,-6087.883585240796,12,False,0.0013175981238631796,0.008556182990753853,0.005356109435708868,0.029918233480165278,0.0005145675995527071,0.05717928426213703,,
5,tvtp_logrv,2015-05-02,2019-05-01,2019-07-30,3126.591470337479,-6217.182940674958,-6122.031489810315,18,True,0.0009629303948819612,0.007499484533902419,0.005807790004558863,0.020925019213473672,-0.0013926650973232876,0.06141462590008688,77.86505485773432,9.856302851232661e-15
5,tvtp_exflow,2015-05-02,2019-05-01,2019-07-30,3094.0084395316962,-6152.0168790633925,-6056.865428198749,18,True,0.0010774022799520334,0.007535180559642388,0.005404352306485215,0.025877839183206564,0.00046761246923502985,0.0559878560952531,12.698993246168357,0.04807292743560779
5,tvtp_both,2015-05-02,2019-05-01,2019-07-30,3134.804559143735,-6221.60911828747,-6094.740517134613,24,True,0.0008136742658387197,0.008124413913666294,0.00625012282595665,0.02104716809065746,-0.0017474741824493024,0.06174681446711772,94.29123247024563,7.252241418535744e-15
6,baseline,2015-08-01,2019-07-31,2019-10-29,2994.7866005364604,-5965.573201072921,-5902.138900496492,12,True,0.001793148034556808,0.008418337205338832,0.004838022601702637,0.03082293312931711,0.0013460160928023786,0.057400953628840845,,
6,tvtp_logrv,2015-08-01,2019-07-31,2019-10-29,3039.7708744148067,-6043.541748829613,-5948.39029796497,18,True,0.0011207020232368494,0.0068988039929140455,0.006297274969353524,0.020404253801387835,-0.0011348322898817743,0.061608671260615554,89.96854775669271,3.0758991190192655e-17
6,tvtp_exflow,2015-08-01,2019-07-31,2019-10-29,3002.153268947443,-5968.306537894886,-5873.155087030243,18,True,0.0012819014025378225,0.0070971887596192615,0.00533593705651693,0.02579288801989228,0.0008643061909782496,0.05728682465717769,14.733336821965167,0.022435300305208898
6,tvtp_both,2015-08-01,2019-07-31,2019-10-29,3047.2736926908165,-6046.547385381633,-5919.678784228776,24,False,0.0010055034832813755,0.0071474835833069015,0.006400469792762678,0.019862855457109672,-0.0012511639834981388,0.061477705516498816,104.97418430871221,5.871966759458933e-17
7,baseline,2015-10-31,2019-10-30,2020-01-28,2957.935749169651,-5891.871498339302,-5828.437197762873,12,True,0.0010466998047087078,0.006838381438723046,0.005023518810870634,0.025977491452721463,0.0005312998300244086,0.059034609791472265,,
7,tvtp_logrv,2015-10-31,2019-10-30,2020-01-28,3000.1376065198447,-5964.275213039689,-5869.123762175046,18,True,0.0011280584648731473,0.006679540714156709,0.005431950295868363,0.022419724714054567,-0.0006123485044720133,0.06197517051320614,84.40371470038735,4.3870612396963016e-16
7,tvtp_exflow,2015-10-31,2019-10-30,2020-01-28,2964.5006517074507,-5893.0013034149015,-5797.849852550258,18,True,0.001131315144182334,0.006767847261165335,0.005159091984661959,0.026394460873212813,0.00021441274993663501,0.059336986810682245,13.129805075599506,0.041020322426014354
7,tvtp_both,2015-10-31,2019-10-30,2020-01-28,3007.8812762451025,-5967.762552490205,-5840.893951337348,24,True,0.0013424687375146547,0.0065540984817962465,0.005914056733503671,0.024811948078336175,-0.0018228440549984217,0.06408075547732603,99.89105415090307,5.848179634880403e-16
8,baseline,2016-01-30,2020-01-29,2020-04-28,2983.9867126190866,-5943.973425238173,-5880.539124661745,12,True,0.001000335676347423,0.0064264278967265265,0.004036491204026634,0.024691637725259685,0.0010400121329765947,0.05804778843489301,,
8,tvtp_logrv,2016-01-30,2020-01-29,2020-04-28,3027.3974270575873,-6018.7948541151745,-5923.643403250531,18,True,0.0013273773591291505,0.00635284321223692,0.004550559458367202,0.02414394030868032,-0.000528094837084155,0.06307199930815081,86.82142887700138,1.3839867350632792e-16
8,tvtp_exflow,2016-01-30,2020-01-29,2020-04-28,2990.9493038624796,-5945.898607724959,-5850.747156860316,18,True,0.0011463633190473338,0.006358269787433842,0.003835783499036737,0.024794023580445808,0.0010734659816105017,0.0582395875275165,13.92518248678607,0.03048317482647034
8,tvtp_both,2016-01-30,2020-01-29,2020-04-28,3036.975254408957,-6025.950508817914,-5899.081907665057,24,True,0.0013165116422090763,0.00610443938922256,0.004705428253248725,0.024352560233327547,-0.0008351395963930773,0.06335505410322581,105.97708357974079,3.7259773280865533e-17
9,baseline,2016-04-30,2020-04-29,2020-07-28,2879.282003705086,-5734.564007410172,-5671.1297068337435,12,True,0.0007090230502119572,0.0072227185673813575,0.004433937966053103,0.030515502535497372,-0.0012538271148216542,0.06902480226519787,,
9,tvtp_logrv,2016-04-30,2020-04-29,2020-07-28,2927.5932854192524,-5819.186570838505,-5724.035119973862,18,True,0.0010792266481902332,0.006237432135186214,0.004681725106021719,0.025545116727000782,-0.0016671581083030804,0.06850426473291969,96.6225634283328,1.2697496205012217e-18
9,tvtp_exflow,2016-04-30,2020-04-29,2020-07-28,2884.0524471282197,-5732.104894256439,-5636.953443391796,18,True,0.0007022433202725872,0.006926582947055562,0.004383273669047736,0.02952751131564931,-0.001395761062493611,0.06911627023752649,9.540886846267313,0.1453656399356824
9,tvtp_both,2016-04-30,2020-04-29,2020-07-28,2936.6212722617065,-5825.242544523413,-5698.373943370556,24,True,0.001126369958178573,0.006062666642103957,0.004786122689581593,0.026141177265470807,-0.0019882997219772035,0.0689185798546282,114.67853711324096,7.0764462241838535e-19
10,baseline,2016-07-30,2020-07-29,2020-10-27,2878.158164543791,-5732.316329087582,-5668.882028511153,12,True,0.00045821266251724343,0.007713094943943845,0.004660223915548781,0.030014628280038758,-0.0022632882508249715,0.0709281867363153,,
10,tvtp_logrv,2016-07-30,2020-07-29,2020-10-27,2919.2643615540574,-5802.528723108115,-5707.377272243471,18,True,0.0007034438636837869,0.006343529044724198,0.004634795114593712,0.024837787472521636,-0.0014425160935567288,0.06815186311897148,82.21239402053288,1.2465577305815243e-15
10,tvtp_exflow,2016-07-30,2020-07-29,2020-10-27,2882.373145994159,-5728.746291988318,-5633.594841123675,18,True,0.0004948570078901717,0.0075858295245795175,0.004710460954311891,0.028798203355545393,-0.002410676674465357,0.0702638801672626,8.429962900736427,0.20826428833098273
10,tvtp_both,2016-07-30,2020-07-29,2020-10-27,2926.470439278177,-5804.940878556354,-5678.072277403497,24,True,0.0006546738743125716,0.006767815497826515,0.004762133172681278,0.02517369613024187,-0.001222258059848372,0.06750160586684699,96.62454946877187,2.545056385697301e-15
11,baseline,2016-10-29,2020-10-28,2021-01-26,2837.3904009325624,-5650.780801865125,-5587.346501288696,12,True,0.001914077302879271,0.010097920263948306,0.003495179231161763,0.036105330559743555,-0.000470001822422913,0.07022981148767543,,
11,tvtp_logrv,2016-10-29,2020-10-28,2021-01-26,2871.7028415780314,-5707.405683156063,-5612.25423229142,18,False,0.0018382752260606555,0.007774114155873656,0.004384626001340032,0.026192826664993944,-0.0015024967319813925,0.06857221176177639,68.62488129093799,7.824741201161166e-13
