window,spec,train_start,test_start,test_end,loglik,aic,bic,n_params,converged,mu0,sigma0,nu0,mu1,sigma1,nu1,beta1_0,beta2_0,beta1_1,beta2_1,lr_stat,lr_p,beta1_2,beta2_2
0,baseline,2014-02-01,2018-01-31,2018-05-01,3041.1667645089965,-6066.333529017993,-6024.043995300374,8,True,0.0012564406187535132,0.024479810330188465,2.5659673099895732,0.0032576043374521204,0.054951921878193956,3.9099194261401538,3.6232276187431203,3.5301196945345192,,,,,,
0,tvtp_logrv,2014-02-01,2018-01-31,2018-05-01,3044.8005817617413,-6069.601163523483,-6016.739246376459,10,True,0.0011320298138430276,0.019183273514112267,2.9432608504014484,0.0034208652031960662,0.054154411878483855,4.228478714268801,1.5491563273830138,1.3231680429172443,-0.9554885886144969,1.3840870782647199,7.267634505489696,0.02641515837480375,,
0,tvtp_exflow,2014-02-01,2018-01-31,2018-05-01,3043.5239075299496,-6067.047815059899,-6014.185897912876,10,True,0.0013291908051465521,0.02715492918919895,2.452754475714108,0.0030685764221090104,0.055044621663160834,4.055632770645168,4.016940072838098,3.502285623140144,-1.1100530586570911,0.2586807537894489,4.7142860419062345,0.09469036550728807,,
0,tvtp_both,2014-02-01,2018-01-31,2018-05-01,3048.269953460448,-6072.539906920896,-6009.105606344468,12,True,0.001272881603084431,0.023338556331446693,2.594232612787997,0.0030979227996726787,0.054593449397345735,4.32686372375885,1.9584361099004153,1.2176156230636712,-1.2811812898478672,1.4762701040121586,14.206377902903114,0.006664693789006421,-1.2813631334426012,0.13620732938364477
1,baseline,2014-05-03,2018-05-02,2018-07-31,3024.8820853906464,-6033.764170781293,-5991.474637063674,8,True,0.0014418479275037698,0.027411556489790444,2.43524400376044,0.003692266760694835,0.05384206786579112,4.881973395386778,3.8877384764125367,3.774064058486805,,,,,,
1,tvtp_logrv,2014-05-03,2018-05-02,2018-07-31,3027.062119728471,-6034.124239456942,-5981.262322309918,10,True,0.0013691786730665285,0.021809866501571608,2.6931813421939736,0.0038593596359601853,0.05323967196021361,4.87337459725277,2.2627158603705055,1.913114711409042,-0.6605989574944904,1.5508970816988912,4.360068675649018,0.11303764910685059,,
1,tvtp_exflow,2014-05-03,2018-05-02,2018-07-31,3026.786621012884,-6033.573242025768,-5980.711324878745,10,True,0.0015345742760038156,0.02776213790591733,2.430615338666084,0.0034432462663181343,0.05403456203264513,4.991977195034158,4.0957775804297745,3.742104726602868,-0.8223819781560158,0.32544954924003305,3.80907124447549,0.14889176859693465,,
1,tvtp_both,2014-05-03,2018-05-02,2018-07-31,3029.734187561682,-6035.468375123364,-5972.034074546936,12,True,0.001458319890234478,0.02402658311203753,2.552449032434858,0.0036408815859892783,0.05345071214830776,5.062697956977011,2.3449834851441436,1.6393452736356504,-0.9815315056765034,1.6355660150836084,9.704204342071534,0.04571626076855006,-1.04779200670499,0.17650487710057602
2,baseline,2014-08-02,2018-08-01,2018-10-30,2991.2785704087646,-5966.557140817529,-5924.2676070999105,8,True,0.0017073713803916683,0.025608554461893706,2.481119550349604,0.0030486724790179027,0.05254476411695892,4.601766384049531,3.6411120303800275,3.735694628099352,,,,,,
2,tvtp_logrv,2014-08-02,2018-08-01,2018-10-30,2996.209252839561,-5972.418505679122,-5919.556588532098,10,True,0.0017783286025366864,0.017149103042597955,3.323159564029373,0.002935195203453802,0.05319381477282338,5.755186881330767,0.7461256327982977,0.6788380496582008,-1.3551808074837988,1.5027471729653807,9.861364861592847,0.007221573375337969,,
2,tvtp_exflow,2014-08-02,2018-08-01,2018-10-30,2994.101646524736,-5968.203293049472,-5915.341375902449,10,True,0.0019343638027744133,0.028033683244091022,2.3946715745474996,0.002560971628750078,0.05252526485634069,4.64224638230298,4.329170053333347,3.6692593351512905,-1.6228849633497753,0.2913944542057155,5.646152231943233,0.059422869637928526,,
2,tvtp_both,2014-08-02,2018-08-01,2018-10-30,2998.9103444735283,-5973.820688947057,-5910.386388370628,12,True,0.0018650581635344923,0.020796833573828548,2.8238056079859373,0.002701508595226677,0.05399260833295588,5.863923452404386,1.2927044647420183,0.8342624598669339,-1.472090490491165,1.424242203558997,15.263548129527408,0.00418468431117326,-0.9513087978501954,0.08869247629449452
3,baseline,2014-11-01,2018-10-31,2019-01-29,3025.648760749282,-6035.297521498564,-5993.007987780945,8,True,0.0018595732047298425,0.029292141505742424,2.3430113515385047,0.0035858215955742985,0.05330293805448861,4.454723699279203,3.8919797101744797,3.771354487058321,,,,,,
3,tvtp_logrv,2014-11-01,2018-10-31,2019-01-29,3031.5477428623462,-6043.0954857246925,-5990.233568577669,10,True,0.0019801710263328063,0.018665501310594367,2.969516639830393,0.0032260842404863467,0.053673126523144446,5.594384680460708,1.0985287884039712,0.7655406058776947,-1.3092024145780192,1.5121992783651867,11.797964226128897,0.00274223468350261,,
3,tvtp_exflow,2014-11-01,2018-10-31,2019-01-29,3029.599339248767,-6039.198678497534,-5986.336761350511,10,True,0.0021233048074346473,0.031218328597192358,2.3033730085696593,0.0028702155672158352,0.053340200644005374,4.568804110163688,4.723839981932374,3.7537149614914,-1.6527612063656252,0.3292126482003815,7.901156998970691,0.019243566161603352,,
3,tvtp_both,2014-11-01,2018-10-31,2019-01-29,3033.971055203575,-6043.94211040715,-5980.507809830721,12,True,0.0020467317334459194,0.025761067400122524,2.438829307716199,0.0030459420847894453,0.053549438275721964,5.086139715775635,2.216883903241158,1.6564643556983898,-1.287100147030237,1.2826186564698807,16.64458890858623,0.002265667934249207,-0.8851121620952287,0.2122287746843463
4,baseline,2015-01-31,2019-01-30,2019-04-30,3046.840313730776,-6077.680627461552,-6035.391093743933,8,True,0.0016939951955140863,0.038033868471874656,2.1797739383338945,0.0032729102251159077,0.0523065282253417,5.623779896884043,3.9664756882329004,3.722098431333016,,,,,,
